data,casosNovos
30/01/2020,0
31/01/2020,0
01/02/2020,0
02/02/2020,0
03/02/2020,0
04/02/2020,0
05/02/2020,0
06/02/2020,0
07/02/2020,0
08/02/2020,0
09/02/2020,0
10/02/2020,0
11/02/2020,0
12/02/2020,0
13/02/2020,0
14/02/2020,0
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,0
21/02/2020,0
22/02/2020,0
23/02/2020,0
24/02/2020,0
25/02/2020,0
26/02/2020,1
27/02/2020,0
28/02/2020,0
29/02/2020,1
01/03/2020,0
02/03/2020,0
03/03/2020,0
04/03/2020,1
05/03/2020,3
06/03/2020,4
07/03/2020,3
08/03/2020,3
09/03/2020,0
10/03/2020,3
11/03/2020,11
12/03/2020,12
13/03/2020,14
14/03/2020,9
15/03/2020,71
16/03/2020,16
17/03/2020,12
18/03/2020,76
19/03/2020,46
20/03/2020,110
21/03/2020,63
22/03/2020,172
23/03/2020,114
24/03/2020,65
25/03/2020,52
26/03/2020,190
27/03/2020,171
28/03/2020,183
29/03/2020,45
30/03/2020,66
31/03/2020,822
01/04/2020,642
02/04/2020,525
03/04/2020,542
04/04/2020,418
05/04/2020,154
06/04/2020,246
07/04/2020,816
08/04/2020,1026
09/04/2020,772
10/04/2020,736
11/04/2020,203
12/04/2020,336
13/04/2020,140
14/04/2020,476
15/04/2020,1672
16/04/2020,525
17/04/2020,1273
18/04/2020,1053
19/04/2020,373
20/04/2020,313
21/04/2020,805
22/04/2020,529
23/04/2020,826
24/04/2020,1086
25/04/2020,2178
26/04/2020,711
27/04/2020,981
28/04/2020,2345
29/04/2020,2117
30/04/2020,2540
01/05/2020,1676