palavra,classe,quantidade
acrescentamento,substantivo,1
circunstanciado,adjetivo,2
impacientemente,adverbio,3
antepassado,substantivo,4
correligionario,substantivo,5
costumeiramente,adverbio,1
intransmissivel,adjetivo,2
cumprimentar,verbo,3
indefinidamente,adverbio,4
suficientemente,adverbio,5
correspondencia,substantivo,1
motocicleta,substantivo,2
achincalhamento,substantivo,3
impossibilitado,adjetivo,4
profilatico,adjetivo,5
insociabilidade,substantivo,1
dessensibilizar,verbo,2
inidentificavel,adjetivo,3
descongestionar,verbo,4
autossuficiente,adjetivo,5
inculpabilidade,substantivo,1
impermeabilizar,verbo,2
aproximacao,substantivo,3
turbulencia,substantivo,4
indiscriminacao,substantivo,5
diferenciar,verbo,1
sorrateiramente,adverbio,2
travesseiro,substantivo,3
bem-conceituado,adjetivo,4
arquitetura,substantivo,5
cientificamente,adverbio,5
reivindicatorio,adjetivo,4
cabeca-de-frade,substantivo,8
receptibilidade,substantivo,5
intrometido,substantivo,2
significado,substantivo,1
espontaneamente,adverbio,7
aquecimento,substantivo,4
quotidianamente,adverbio,9
admissibilidade,substantivo,24
insensibilidade,substantivo,32
inequivocamente,adverbio,1
harmoniosamente,adverbio,2
acampamento,substantivo,3
condicionamento,substantivo,4
indiscretamente,adverbio,5
desmaterializar,verbo,1
penetrabilidade,substantivo,2
artificialidade,substantivo,3
conscientemente,adjetivo,4
multiplicacao,substantivo,5
dispositivo,substantivo,3
observatorio,substantivo,7
suscetibilidade,substantivo,8
desproporcional,adjetivo,6
lisonjeiramente,adverbio,4
convulsivamente,adverbio,3
rechonchudo,adjetivo,6
especificamente,adverbio,7
torrencialmente,adverbio,9
verossimilidade,substantivo,1
comercializavel,adjetivo,2
inframencionado,adjetivo,3
incessantemente,adverbio,4
substancializar,verbo,5
investimento,substantivo,1
estandardizacao,substantivo,2
perpendicular,verbo,3
abaixo-assinado,substantivo,4
relatividade,substantivo,5
horizontalidade,substantivo,9
publicidade,substantivo,6
inautenticidade,substantivo,5
articuladamente,adjetivo,4
chave-de-cadeia,adjetivo,4
lingua-de-trapo,adjetivo,6
investigador,substantivo,7
prisioneiro,substantivo,8
substituicao,substantivo,3
secundariamente,adverbio,5
miraculosamente,adverbio,5
homossexualismo,substantivo,6
perspectiva,substantivo,6
bem-aventuranca,substantivo,7
desarraigamento,substantivo,8
supersticao,substantivo,3
desconformidade,substantivo,5
identificacao,substantivo,5
transbordar,verbo,6
reinterpretacao,substantivo,6
supramencionado,adjetivo,1
intratabilidade,substantivo,2
estrangulamento,substantivo,3
primordialmente,adjetivo,4
descuidadamente,adverbio,5
improdutividade,substantivo,1
antecipadamente,adverbio,2
superintendente,substantivo,3
inflexibilidade,substantivo,4
defectibilidade,substantivo,5
disfarcadamente,adverbio,6
personalidade,substantivo,7
idiossincrasico,adjetivo,8
prestidigitacao,substantivo,3
departamento,substantivo,5
articulacao,substantivo,5
lastimavelmente,adverbio,6
dessacralizacao,substantivo,6
prestidigitador,substantivo,7
extrinsecamente,adverbio,8
unilateralidade,substantivo,3
subdesenvolvido,substantivo,5
espiritualidade,substantivo,2
desensoberbecer,verbo,3
descaracterizar,verbo,4
estabelecimento,substantivo,5
profundidade,substantivo,1
equitativamente,adverbio,2
desaconselhavel,adjetivo,3
irracionalidade,substantivo,4
assistencia,substantivo,5
provisoriamente,adverbio,6
ponderabilidade,substantivo,7
auspiciosamente,adverbio,8
reflorestamento,substantivo,3
conservadorismo,substantivo,5
contrabando,substantivo,5
transportar,verbo,6
apartamento,substantivo,6
celebridade,substantivo,7
produtibilidade,substantivo,8
radiodifusor,substantivo,3
unissubsistente,adjetivo,5
irrazoabilidade,substantivo,5
perseguicao,substantivo,6
perfectibilizar,verbo,6
intemporalidade,substantivo,7
condescendencia,substantivo,8
continuadamente,adverbio,6
preservativo,substantivo,7
percentagem,substantivo,8
conclusivamente,adverbio,3
inevitavelmente,adverbio,5
contemporizador,substantivo,5
desqualificacao,substantivo,6
degenerescencia,substantivo,6
desmantelamento,substantivo,7
instantaneidade,substantivo,8
administracao,substantivo,3
semelhantemente,adverbio,5
previsibilidade,substantivo,5
inexorabilidade,substantivo,6
estrondosamente,adverbio,6
equipamento,substantivo,11
descontinuidade,substantivo,32
insistentemente,adverbio,45
irreconciliavel,adjetivo,6
individualidade,substantivo,7
indiscriminavel,adjetivo,8
antipatriotismo,substantivo,3
encerramento,substantivo,5
desentendimento,substantivo,5
ancoradouro,substantivo,6
temperatura,substantivo,6
tempestivamente,adverbio,34
helicoptero,substantivo,56
incompreensivel,substantivo,7
incidentalmente,adverbio,1
assassinato,substantivo,5
temporariamente,adverbio,3
afortunadamente,adverbio,5
autoconsciencia,substantivo,6
micro-organismo,substantivo,7
desempedernecer,verbo,8
representar,verbo,19
concorrencia,substantivo,23
diariamente,adverbio,33
desgracadamente,adverbio,2
deslocamento,substantivo,4
cumulativamente,adverbio,5
matematicamente,adverbio,67
definitivamente,adverbio,8
insurreicao,substantivo,9
impassibilidade,substantivo,7
inconsciente,adjetivo,3
escrupulosidade,substantivo,5
engrandecimento,substantivo,5
subsidiariedade,substantivo,2
exuberantemente,adverbio,5
irracionalmente,adverbio,4
esplendidamente,adverbio,3
inelegibilidade,substantivo,2
contemporizacao,substantivo,6
sarcasticamente,adverbio,7
terraplanagem,substantivo,8
encarecidamente,adverbio,5
historiador,substantivo,5
heterogeneidade,substantivo,5
disponibilidade,substantivo,2
purificador,substantivo,5
originariamente,adverbio,4
transpiracao,substantivo,3
automaticamente,adverbio,2
particularidade,substantivo,6
intangibilidade,substantivo,7
verissimilhanca,substantivo,8
gotejamento,substantivo,5
terminantemente,adverbio,5
estrangeiro,substantivo,9
insensivelmente,adjetivo,5
relaxamento,substantivo,5
constrangimento,substantivo,2
autocomiseracao,substantivo,5
hereditariedade,substantivo,4
incontentamento,substantivo,3
expansibilidade,substantivo,2
antidemocratico,adjetivo,6
inteligencia,substantivo,7
indiferenciacao,substantivo,8
permeabilizacao,substantivo,5
vice-presidente,substantivo,5
obrigatorio,adjetivo,5
verdadeiramente,adverbio,2
desconsideracao,substantivo,5
voluntariamente,adverbio,4
interceptar,verbo,3
desestruturacao,substantivo,2
ridicularizacao,substantivo,6
homossexual,adjetivo,7
irrestritamente,adverbio,8
ressocializacao,substantivo,5
nu-proprietario,substantivo,5
quinta-essencia,substantivo,9
mensurabilidade,substantivo,5
equivocadamente,adjetivo,5
desenvolvimento,substantivo,2
compartimento,substantivo,5
antiliberalismo,substantivo,4
estrela-cadente,substantivo,3
superpovoamento,substantivo,2
inviolabilidade,substantivo,6
transitoriedade,substantivo,7
consubstanciado,adjetivo,8
compatibilidade,substantivo,5
intranquilidade,substantivo,2
descontaminacao,substantivo,5
improbabilidade,substantivo,4
descongelar,verbo,3
comparabilidade,substantivo,2
prodigiosamente,adverbio,6
antiguidade,substantivo,7
sincronicamente,adverbio,8